StaffId,Name,JobTitle,GradeLevel,EmployeeType,FunctionalManager,Mobile,Country,Department,CostCenter,Email
523509129,Neha Kapoor,Chairman,1,Employee,Amit Aggarwal,,Germany,Dept_0620,78659862,neha.kapoor@tech.com
649527664,Jatin Verma,Chairman,1,Employee,Ankit Kapoor,,USA,Dept_0734,67396933,jatin.verma@tech.com
193820269,Ankit Iyer,Chairman,1,Employee,Neha Sharma,,India,Dept_0292,56294407,ankit.iyer@tech.com
821079668,Ankit Singh,Chairman,1,Employee,Rahul Iyer,,Germany,Dept_0090,38950113,ankit.singh@tech.com
826991279,Kunal Kapoor,Chairman,1,Employee,Simran Malhotra,,Singapore,Dept_0296,31983567,kunal.kapoor@tech.com
578306974,Simran Iyer,Chairman,1,Employee,Ankit Bansal,,USA,Dept_0856,88809974,simran.iyer@tech.com
678115797,Pooja Sharma,Chairman,1,Employee,Priya Verma,,USA,Dept_0311,73701495,pooja.sharma@tech.com
189753594,Ayesha Malhotra,Chairman,1,Employee,Kunal Sharma,,India,Dept_0956,89279578,ayesha.malhotra@tech.com
124211427,Simran Iyer,Chairman,1,Employee,Kunal Bansal,,India,Dept_0420,95739089,simran2.iyer@tech.com
310148111,Priya Iyer,Chairman,1,Employee,Jatin Bansal,,Germany,Dept_0474,86224438,priya.iyer@tech.com
398422025,Simran Mehta,Managing Director,2,Employee,Kunal Verma,,USA,Dept_0853,61240239,simran.mehta@tech.com
923662117,Priya Malhotra,Managing Director,2,Employee,Neha Malhotra,,India,Dept_0843,50532800,priya.malhotra@tech.com
938896611,Ayesha Bansal,Managing Director,2,Employee,Kunal Verma,,Singapore,Dept_0573,72203452,ayesha.bansal@tech.com
338525147,Neha Aggarwal,Managing Director,2,Employee,Rohit Mehta,,USA,Dept_0269,50288055,neha.aggarwal@tech.com
665254032,Arjun Kapoor,Managing Director,2,Employee,Priya Verma,,Canada,Dept_0682,48612968,arjun.kapoor@tech.com
726454737,Rohit Mehta,Managing Director,2,Employee,Priya Verma,,Canada,Dept_0661,42849824,rohit.mehta@tech.com
309540440,Jatin Sharma,Managing Director,2,Employee,Ankit Singh,,Singapore,Dept_0994,18955654,jatin.sharma@tech.com
788604221,Pooja Verma,Managing Director,2,Employee,Vikram Verma,,Germany,Dept_0447,44616300,pooja.verma@tech.com
752997384,Arjun Kapoor,Managing Director,2,Employee,Pooja Verma,,UK,Dept_0525,87210585,arjun2.kapoor@tech.com
159091919,Jatin Singh,Managing Director,2,Employee,Pooja Iyer,,Germany,Dept_0060,29614192,jatin.singh@tech.com
450433330,Ankit Kapoor,Managing Director,2,Employee,Ayesha Sharma,,UK,Dept_0168,17098551,ankit.kapoor@tech.com
199300858,Priya Verma,Managing Director,2,Employee,Kunal Iyer,,Canada,Dept_0934,57779407,priya.verma@tech.com
483748402,Jatin Singh,Managing Director,2,Employee,Rahul Verma,,Germany,Dept_0655,20311502,jatin2.singh@tech.com
578859534,Vikram Gupta,Managing Director,2,Employee,Arjun Sharma,,India,Dept_0614,32432603,vikram.gupta@tech.com
336614898,Vikram Verma,Managing Director,2,Employee,Pooja Aggarwal,,Canada,Dept_0820,50409241,vikram.verma@tech.com
763059187,Priya Verma,Managing Director,2,Employee,Kunal Kapoor,,Germany,Dept_0594,57194894,priya2.verma@tech.com
531246845,Ayesha Mehta,Managing Director,2,Employee,Priya Verma,,USA,Dept_0531,47771252,ayesha.mehta@tech.com
126624066,Ankit Kapoor,Managing Director,2,Employee,Priya Verma,,UK,Dept_0944,31881401,ankit2.kapoor@tech.com
430800749,Rahul Gupta,Managing Director,2,Employee,Rahul Iyer,,Germany,Dept_0227,35288872,rahul.gupta@tech.com
225494759,Simran Malhotra,Managing Director,2,Employee,Pooja Verma,,Singapore,Dept_0472,20254278,simran.malhotra@tech.com
691588789,Rahul Mehta,Managing Director,2,Employee,Ankit Singh,,Singapore,Dept_0357,51818682,rahul.mehta@tech.com
828005909,Kunal Verma,Managing Director,2,Employee,Kunal Gupta,,Singapore,Dept_0912,90215042,kunal.verma@tech.com
249704623,Vikram Verma,Managing Director,2,Employee,Simran Malhotra,,Canada,Dept_0312,13860039,vikram2.verma@tech.com
143036559,Kunal Sharma,Managing Director,2,Employee,Ankit Bansal,,USA,Dept_0878,29107146,kunal.sharma@tech.com
